X1_um,Y1_um,Z1_um,X2_um,Y2_um,Z2_um
1136.99995,-2936.159122,-1136.99995,-978.6615245,-3048.21667,978.6615245
1148.330005,-2962.956109,-1148.330005,-987.0227239,-3077.112286,987.0227239
1156.836226,-2983.046505,-1156.836226,-993.2842605,-3098.789413,993.2842605
1165.349885,-3003.130599,-1165.349885,-999.5377698,-3120.471173,999.5377698
1176.712996,-3029.89958,-1176.712996,-1007.863292,-3149.387386,1007.863292
1185.244001,-3049.96895,-1185.244001,-1014.098064,-3171.079936,1014.098064
1196.630232,-3076.718277,-1196.630232,-1022.398597,-3200.010513,1022.398597
1205.17857,-3096.772892,-1205.17857,-1028.614623,-3221.71382,1028.614623
1213.734332,-3116.821174,-1213.734332,-1034.822612,-3243.421728,1034.822612
1225.153561,-3143.542356,-1225.153561,-1043.087425,-3272.372751,1043.087425
1233.726638,-3163.575841,-1233.726638,-1049.276654,-3294.09137,1049.276654
1242.307133,-3183.602974,-1242.307133,-1055.45784,-3315.81457,1055.45784
1253.759325,-3210.29593,-1253.759325,-1063.686907,-3344.78595,1063.686907
1262.357116,-3230.308223,-1262.357116,-1069.849321,-3366.519814,1069.849321
1270.962315,-3250.314147,-1270.962315,-1076.003685,-3388.258239,1076.003685
1282.447436,-3276.978795,-1282.447436,-1084.196983,-3417.24989,1084.196983
1291.069914,-3296.969836,-1291.069914,-1090.332561,-3438.998933,1090.332561
1299.699793,-3316.954489,-1299.699793,-1096.460086,-3460.752516,1096.460086
1311.217807,-3343.590748,-1311.217807,-1104.617588,-3489.764348,1104.617588
1319.864946,-3363.560475,-1319.864946,-1110.726314,-3511.528504,1110.726314
1328.519478,-3383.523797,-1328.519478,-1116.82698,-3533.29718,1116.82698
1340.07035,-3410.131585,-1340.07035,-1124.948662,-3562.329105,1124.948662
1348.742124,-3430.079939,-1348.742124,-1131.030516,-3584.108307,1131.030516
1357.421283,-3450.021869,-1357.421283,-1137.104304,-3605.89201,1137.104304
1369.004978,-3476.601106,-1369.004978,-1145.190141,-3634.943939,1145.190141
1377.70136,-3496.528025,-1377.70136,-1151.245105,-3656.738121,1151.245105
1386.405119,-3516.448501,-1386.405119,-1157.291998,-3678.536784,1157.291998
1398.021602,-3542.999106,-1398.021602,-1165.341965,-3707.608629,1165.341965
1406.742565,-3562.904529,-1406.742565,-1171.37002,-3729.417725,1171.37002
1415.470898,-3582.803492,-1415.470898,-1177.389999,-3751.231282,1177.389999
1427.120134,-3609.325384,-1427.120134,-1185.404072,-3780.322954,1185.404072
1435.865652,-3629.209251,-1435.865652,-1191.4052,-3802.146897,1191.4052
1444.618532,-3649.086639,-1444.618532,-1197.398246,-3823.975281,1197.398246
1456.300485,-3675.579737,-1456.300485,-1205.3764,-3853.086692,1205.3764
1465.070532,-3695.441987,-1465.070532,-1211.350583,-3874.925416,1211.350583
1473.847932,-3715.297741,-1473.847932,-1217.316679,-3896.768561,1217.316679
1485.562566,-3741.761964,-1485.562566,-1225.25889,-3925.899621,1225.25889
1494.357115,-3761.602537,-1494.357115,-1231.206109,-3947.753059,1231.206109
1506.094605,-3788.046499,-1506.094605,-1239.123146,-3976.897822,1239.123146
1514.906289,-3807.871863,-1514.906289,-1245.05148,-3998.76152,1245.05148
1523.725312,-3827.690698,-1523.725312,-1250.971717,-4020.629606,1250.971717
1535.495423,-3854.105649,-1535.495423,-1258.85277,-4049.793868,1258.85277
1544.331563,-3873.909232,-1544.331563,-1264.75411,-4071.672167,1264.75411
1553.175034,-3893.70627,-1553.175034,-1270.647348,-4093.554834,1270.647348
1564.97773,-3920.092128,-1564.97773,-1278.492393,-4122.738506,1278.492393
1573.838299,-3939.873871,-1573.838299,-1284.36672,-4144.63134,1284.36672
1582.706192,-3959.64905,-1582.706192,-1290.23294,-4166.52852,1290.23294
1594.541437,-3986.005736,-1594.541437,-1298.041953,-4195.731514,1298.041953
1603.426408,-4005.765578,-1603.426408,-1303.889251,-4217.638815,1303.889251
1612.318695,-4025.518839,-1612.318695,-1309.728435,-4239.550444,1309.728435
1624.186452,-4051.846272,-1624.186452,-1317.501393,-4268.772669,1317.501393
1633.095799,-4071.584153,-1633.095799,-1323.321642,-4290.694372,1323.321642
1642.012452,-4091.315435,-1642.012452,-1329.133774,-4312.620381,1329.133774
1653.912687,-4117.613535,-1653.912687,-1336.870652,-4341.86175,1336.870652
1662.846381,-4137.329395,-1662.846381,-1342.663835,-4363.797786,1342.663835
1671.787375,-4157.038638,-1671.787375,-1348.448896,-4385.73811,1348.448896
1683.720049,-4183.307325,-1683.720049,-1356.149671,-4414.998533,1356.149671
1692.678065,-4203.001105,-1692.678065,-1361.915771,-4436.948836,1361.915771
1701.643371,-4222.688248,-1701.643371,-1367.673743,-4458.903407,1367.673743
1713.60845,-4248.927442,-1713.60845,-1375.338391,-4488.182795,1375.338391
1722.590759,-4268.59908,-1722.590759,-1381.077391,-4510.147299,1381.077391
1731.58035,-4288.264065,-1731.58035,-1386.808256,-4532.11605,1386.808256
1743.577796,-4314.473685,-1743.577796,-1394.436755,-4561.414314,1394.436755
1752.584371,-4334.123123,-1752.584371,-1400.148636,-4583.392952,1400.148636
1761.598221,-4353.765889,-1761.598221,-1405.852378,-4605.375816,1405.852378
1773.627998,-4379.945856,-1773.627998,-1413.444704,-4634.692867,1413.444704
1782.658812,-4399.573033,-1782.658812,-1419.129449,-4656.685571,1419.129449
1794.711199,-4425.732195,-1794.711199,-1426.696441,-4686.015719,1426.696441
1803.758964,-4445.343755,-1803.758964,-1432.36218,-4708.01823,1432.36218
1812.813989,-4464.948611,-1812.813989,-1438.019772,-4730.024933,1438.019772
1824.898645,-4491.077985,-1824.898645,-1445.550551,-4759.373716,1445.550551
1833.970601,-4510.667182,-1833.970601,-1451.189126,-4781.390179,1451.189126
1843.04981,-4530.249658,-1843.04981,-1456.819547,-4803.410815,1456.819547
1855.166698,-4556.349163,-1855.166698,-1464.314091,-4832.778143,1464.314091
1864.262818,-4575.915938,-1864.262818,-1469.925483,-4854.808492,1469.925483
1873.366183,-4595.475975,-1873.366183,-1475.528717,-4876.842993,1475.528717
1885.515266,-4621.545532,-1885.515266,-1482.987003,-4906.228778,1482.987003
1894.635523,-4641.089825,-1894.635523,-1488.571196,-4928.272945,1488.571196
1903.763016,-4660.627362,-1903.763016,-1494.147225,-4950.321244,1494.147225
1915.944257,-4686.666893,-1915.944257,-1501.56923,-4979.725395,1501.56923
1925.088623,-4706.188645,-1925.088623,-1507.126207,-5001.783313,1507.126207
1934.240216,-4725.703622,-1934.240216,-1512.675014,-5023.845344,1512.675014
1946.453578,-4751.713046,-1946.453578,-1520.060716,-5053.267771,1520.060716
1955.622025,-4771.212198,-1955.622025,-1525.590459,-5075.339373,1525.590459
1964.79769,-4790.704557,-1964.79769,-1531.112028,-5097.415068,1531.112028
1977.043136,-4816.683795,-1977.043136,-1538.461404,-5126.855682,1538.461404
1986.235636,-4836.160286,-1986.235636,-1543.963897,-5148.940901,1543.963897
1995.435346,-4855.629968,-1995.435346,-1549.458211,-5171.030192,1549.458211
2007.712838,-4881.578941,-2007.712838,-1556.771238,-5200.488904,1556.771238
2016.929363,-4901.032713,-2016.929363,-1562.246464,-5222.587673,1562.246464
2026.153089,-4920.479657,-2026.153089,-1567.713506,-5244.690493,1567.713506
2038.46259,-4946.398286,-2038.46259,-1574.990163,-5274.167212,1574.990163
2047.703112,-4965.829279,-2047.703112,-1580.438105,-5296.279463,1580.438105
2056.950827,-4985.253427,-2056.950827,-1585.877858,-5318.395745,1585.877858
2069.2923,-5011.141634,-2069.2923,-1593.118123,-5347.890383,1593.118123
2078.55679,-5030.549789,-2078.55679,-1598.538764,-5370.016048,1598.538764
2090.92062,-5056.416652,-2090.92062,-1605.75354,-5399.523175,1605.75354
2100.201872,-5075.808786,-2100.201872,-1611.155062,-5421.658191,1611.155062
2109.490303,-5095.194044,-2109.490303,-1616.548386,-5443.797204,1616.548386
2121.886041,-5121.03035,-2121.886041,-1623.726733,-5473.322095,1623.726733
